,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
30,2,8.0,1503,0.34067210000000614,"[10, 2, 3, 3, 3, 1, 10, 5, 0, 11, 4, 1, 8, 1, 5, 3, 5, 1, 11, 1, 11, 6, 2, 2, 6, 7, 6, 2, 2, 6, 2, 1, 6, 2, 4, 6, 1, 7, 1, 3, 3, 7, 10, 0, 11, 8, 5, 3, 5, 5, 8, 10, 11, 3, 7, 0, 5, 4, 2, 3, 7, 10, 10, 9, 10, 1, 7, 6, 0, 1, 6, 10, 10, 2, 1, 0, 6, 2, 5, 9, 7, 5, 6, 10, 5, 6, 4, 8, 2, 5, 8, 0, 4, 3, 8, 10, 10, 0, 3, 0]",500,0.3,4096
31,4,7.0,2506,0.6118670999999836,"[7, 2, 10, 11, 6, 0, 4, 5, 9, 10, 10, 8, 4, 0, 3, 5, 0, 1, 8, 7, 1, 8, 10, 6, 8, 2, 7, 6, 2, 5, 0, 2, 7, 6, 3, 5, 4, 8, 6, 4, 0, 9, 4, 6, 9, 11, 9, 1, 10, 5, 1, 1, 0, 0, 5, 11, 8, 2, 9, 10, 9, 4, 5, 10, 8, 9, 6, 9, 4, 0, 7, 1, 2, 1, 3, 6, 0, 9, 11, 0, 3, 3, 5, 4, 10, 1, 10, 9, 7, 1, 0, 1, 4, 2, 1, 8, 8, 4, 8, 4]",500,0.3,4096
32,8,7.0,4510,1.0583887000000232,"[7, 2, 10, 11, 6, 0, 4, 5, 9, 10, 10, 8, 4, 0, 3, 5, 0, 1, 8, 7, 1, 8, 10, 6, 8, 2, 7, 6, 2, 5, 0, 2, 7, 6, 3, 5, 4, 8, 6, 4, 0, 9, 4, 6, 9, 11, 9, 1, 10, 5, 1, 1, 0, 0, 5, 11, 8, 2, 9, 10, 9, 4, 5, 10, 8, 9, 6, 9, 4, 0, 7, 1, 2, 1, 3, 6, 0, 9, 11, 0, 3, 3, 5, 4, 10, 1, 10, 9, 7, 1, 0, 1, 4, 2, 1, 8, 8, 4, 8, 4]",500,0.3,4096
33,16,4.0,8520,1.9617005000000063,"[7, 2, 10, 11, 11, 0, 4, 5, 9, 10, 6, 8, 4, 7, 8, 5, 0, 1, 8, 7, 7, 10, 10, 5, 8, 2, 7, 7, 2, 2, 5, 7, 7, 6, 3, 5, 6, 8, 6, 4, 0, 9, 1, 6, 9, 11, 9, 1, 5, 2, 2, 1, 0, 9, 5, 9, 8, 2, 9, 3, 9, 4, 10, 11, 3, 9, 6, 7, 4, 0, 7, 5, 5, 0, 4, 3, 1, 9, 8, 0, 3, 3, 5, 3, 6, 5, 7, 9, 7, 5, 1, 6, 4, 2, 2, 8, 3, 11, 8, 0]",500,0.3,4096
34,32,4.0,16536,3.9350886000000287,"[7, 2, 10, 11, 11, 0, 4, 5, 9, 10, 6, 8, 4, 7, 8, 5, 0, 1, 8, 7, 7, 10, 10, 5, 8, 2, 7, 7, 2, 2, 5, 7, 7, 6, 3, 5, 6, 8, 6, 4, 0, 9, 1, 6, 9, 11, 9, 1, 5, 2, 2, 1, 0, 9, 5, 9, 8, 2, 9, 3, 9, 4, 10, 11, 3, 9, 6, 7, 4, 0, 7, 5, 5, 0, 4, 3, 1, 9, 8, 0, 3, 3, 5, 3, 6, 5, 7, 9, 7, 5, 1, 6, 4, 2, 2, 8, 3, 11, 8, 0]",500,0.3,4096
35,64,2.0,32570,7.693483599999979,"[7, 6, 7, 11, 11, 0, 1, 1, 0, 4, 4, 4, 4, 7, 11, 10, 6, 1, 5, 5, 7, 9, 0, 10, 4, 3, 0, 8, 0, 8, 2, 11, 7, 3, 10, 5, 2, 0, 11, 11, 9, 2, 0, 1, 9, 6, 4, 11, 5, 11, 5, 0, 10, 9, 5, 11, 1, 1, 9, 5, 9, 2, 7, 10, 3, 6, 7, 9, 5, 4, 3, 5, 8, 9, 5, 2, 7, 9, 5, 6, 4, 5, 9, 3, 4, 11, 10, 3, 9, 6, 8, 6, 0, 3, 10, 8, 9, 11, 8, 8]",500,0.3,4096
36,128,0.0,38584,9.001081699999986,"[9, 3, 7, 3, 8, 5, 11, 1, 1, 1, 6, 8, 4, 2, 9, 10, 10, 1, 5, 4, 9, 4, 10, 11, 4, 3, 0, 10, 4, 7, 3, 5, 7, 5, 0, 11, 6, 7, 6, 11, 0, 2, 0, 0, 9, 4, 2, 7, 9, 10, 1, 0, 9, 9, 5, 11, 0, 2, 8, 3, 2, 3, 11, 8, 7, 11, 8, 9, 5, 9, 9, 4, 9, 4, 10, 2, 9, 8, 5, 6, 5, 1, 9, 8, 6, 3, 7, 5, 6, 6, 10, 6, 0, 2, 4, 11, 9, 4, 9, 8]",500,0.3,4096
37,256,0.0,38584,9.001081699999986,"[9, 3, 7, 3, 8, 5, 11, 1, 1, 1, 6, 8, 4, 2, 9, 10, 10, 1, 5, 4, 9, 4, 10, 11, 4, 3, 0, 10, 4, 7, 3, 5, 7, 5, 0, 11, 6, 7, 6, 11, 0, 2, 0, 0, 9, 4, 2, 7, 9, 10, 1, 0, 9, 9, 5, 11, 0, 2, 8, 3, 2, 3, 11, 8, 7, 11, 8, 9, 5, 9, 9, 4, 9, 4, 10, 2, 9, 8, 5, 6, 5, 1, 9, 8, 6, 3, 7, 5, 6, 6, 10, 6, 0, 2, 4, 11, 9, 4, 9, 8]",500,0.3,4096
38,512,0.0,38584,9.001081699999986,"[9, 3, 7, 3, 8, 5, 11, 1, 1, 1, 6, 8, 4, 2, 9, 10, 10, 1, 5, 4, 9, 4, 10, 11, 4, 3, 0, 10, 4, 7, 3, 5, 7, 5, 0, 11, 6, 7, 6, 11, 0, 2, 0, 0, 9, 4, 2, 7, 9, 10, 1, 0, 9, 9, 5, 11, 0, 2, 8, 3, 2, 3, 11, 8, 7, 11, 8, 9, 5, 9, 9, 4, 9, 4, 10, 2, 9, 8, 5, 6, 5, 1, 9, 8, 6, 3, 7, 5, 6, 6, 10, 6, 0, 2, 4, 11, 9, 4, 9, 8]",500,0.3,4096
39,1024,0.0,38584,9.001081699999986,"[9, 3, 7, 3, 8, 5, 11, 1, 1, 1, 6, 8, 4, 2, 9, 10, 10, 1, 5, 4, 9, 4, 10, 11, 4, 3, 0, 10, 4, 7, 3, 5, 7, 5, 0, 11, 6, 7, 6, 11, 0, 2, 0, 0, 9, 4, 2, 7, 9, 10, 1, 0, 9, 9, 5, 11, 0, 2, 8, 3, 2, 3, 11, 8, 7, 11, 8, 9, 5, 9, 9, 4, 9, 4, 10, 2, 9, 8, 5, 6, 5, 1, 9, 8, 6, 3, 7, 5, 6, 6, 10, 6, 0, 2, 4, 11, 9, 4, 9, 8]",500,0.3,4096
40,2048,0.0,38584,9.001081699999986,"[9, 3, 7, 3, 8, 5, 11, 1, 1, 1, 6, 8, 4, 2, 9, 10, 10, 1, 5, 4, 9, 4, 10, 11, 4, 3, 0, 10, 4, 7, 3, 5, 7, 5, 0, 11, 6, 7, 6, 11, 0, 2, 0, 0, 9, 4, 2, 7, 9, 10, 1, 0, 9, 9, 5, 11, 0, 2, 8, 3, 2, 3, 11, 8, 7, 11, 8, 9, 5, 9, 9, 4, 9, 4, 10, 2, 9, 8, 5, 6, 5, 1, 9, 8, 6, 3, 7, 5, 6, 6, 10, 6, 0, 2, 4, 11, 9, 4, 9, 8]",500,0.3,4096
