,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
173,173,205.9519469999941,144.0,696189.0,True,4000,0.25,4096
174,174,207.19753049999417,144.0,700190.0,True,4000,0.25,4096
175,175,208.47392380000383,144.0,704191.0,True,4000,0.25,4096
176,176,209.75830529999803,144.0,708192.0,True,4000,0.25,4096
177,177,210.98959700000705,144.0,712193.0,True,4000,0.25,4096
178,178,212.37173830000393,144.0,716194.0,True,4000,0.25,4096
179,179,213.70275300000503,144.0,720195.0,True,4000,0.25,4096
180,180,215.17176149999432,144.0,724196.0,True,4000,0.25,4096
181,181,216.52833620000456,144.0,728197.0,True,4000,0.25,4096
182,182,217.89115490000404,144.0,732198.0,True,4000,0.25,4096
183,183,219.14668380000512,144.0,736199.0,True,4000,0.25,4096
184,184,220.45717789999617,144.0,740200.0,True,4000,0.25,4096
185,185,221.74392730000545,144.0,744201.0,True,4000,0.25,4096
186,186,223.01935070000764,144.0,748202.0,True,4000,0.25,4096
187,187,224.304581400007,144.0,752203.0,True,4000,0.25,4096
188,188,225.56869630000438,144.0,756204.0,True,4000,0.25,4096
189,189,226.874596499998,144.0,760205.0,True,4000,0.25,4096
190,190,228.13963580000564,144.0,764206.0,True,4000,0.25,4096
191,191,229.46126320000621,144.0,768207.0,True,4000,0.25,4096
192,192,230.72513960000651,144.0,772208.0,True,4000,0.25,4096
193,193,232.02643060000264,144.0,776209.0,True,4000,0.25,4096
194,194,233.34189330000663,144.0,780210.0,True,4000,0.25,4096
195,195,234.67533890000777,144.0,784211.0,True,4000,0.25,4096
196,196,235.9232159999956,144.0,788212.0,True,4000,0.25,4096
197,197,237.1714423999947,144.0,792213.0,True,4000,0.25,4096
198,198,238.50198539999838,144.0,796214.0,True,4000,0.25,4096
199,199,239.81678860000102,144.0,800215.0,True,4000,0.25,4096
200,200,241.09531900000002,144.0,804216.0,True,4000,0.25,4096
201,201,242.41286409999884,144.0,808217.0,True,4000,0.25,4096
202,202,243.73279639999964,144.0,812218.0,True,4000,0.25,4096
203,203,245.00490770000033,144.0,816219.0,True,4000,0.25,4096
204,204,246.316968500003,144.0,820220.0,True,4000,0.25,4096
205,205,247.5256733999995,144.0,824221.0,True,4000,0.25,4096
206,206,248.86343189999752,144.0,828222.0,True,4000,0.25,4096
207,207,250.12584389999392,144.0,832223.0,True,4000,0.25,4096
208,208,251.43507300000056,144.0,836224.0,True,4000,0.25,4096
209,209,252.7652792000008,144.0,840225.0,True,4000,0.25,4096
210,210,254.0295397000009,144.0,844226.0,True,4000,0.25,4096
211,211,255.34465400000045,144.0,848227.0,True,4000,0.25,4096
212,212,256.67727630000445,144.0,852228.0,True,4000,0.25,4096
213,213,257.97117119999893,144.0,856229.0,True,4000,0.25,4096
214,214,259.27643110000645,144.0,860230.0,True,4000,0.25,4096
215,215,260.5607641999959,144.0,864231.0,True,4000,0.25,4096
216,216,261.8303659999947,144.0,868232.0,True,4000,0.25,4096
217,217,263.0826715000003,144.0,872233.0,True,4000,0.25,4096
218,218,264.34055989999615,144.0,876234.0,True,4000,0.25,4096
219,219,265.663919300001,144.0,880235.0,True,4000,0.25,4096
220,220,266.9004567999946,144.0,884236.0,True,4000,0.25,4096
221,221,268.2129519000009,144.0,888237.0,True,4000,0.25,4096
222,222,269.54091759999574,144.0,892238.0,True,4000,0.25,4096
223,223,270.87478230000124,144.0,896239.0,True,4000,0.25,4096
224,224,272.1664505999943,144.0,900240.0,True,4000,0.25,4096
225,225,273.49547779999557,144.0,904241.0,True,4000,0.25,4096
226,226,274.72800099999586,144.0,908242.0,True,4000,0.25,4096
227,227,276.00715720000153,144.0,912243.0,True,4000,0.25,4096
228,228,277.29520789999515,144.0,916244.0,True,4000,0.25,4096
229,229,278.60125570000673,144.0,920245.0,True,4000,0.25,4096
230,230,279.86308680000366,144.0,924246.0,True,4000,0.25,4096
231,231,281.19153070000175,144.0,928247.0,True,4000,0.25,4096
232,232,282.4958425999939,144.0,932248.0,True,4000,0.25,4096
233,233,283.7742591999995,144.0,936249.0,True,4000,0.25,4096
234,234,285.0186981000006,144.0,940250.0,True,4000,0.25,4096
235,235,286.34816700000374,144.0,944251.0,True,4000,0.25,4096
