,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
39,1024,3.0,1186,9.962124400000903,"[21, 31, 17, 11, 29, 4, 19, 9, 3, 6, 24, 16, 28, 0, 8, 26, 4, 13, 22, 10, 30, 2, 25, 5, 14, 23, 27, 12, 7, 18, 1, 15]",geometric,2,0.99,0.001,1.8094528097671847,2,4096,
40,2048,2.0,2239,20.92977510000128,"[26, 31, 17, 11, 2, 4, 19, 9, 3, 27, 24, 16, 21, 0, 6, 8, 2, 20, 25, 10, 30, 1, 22, 5, 14, 29, 23, 12, 7, 18, 1, 15]",geometric,2,0.99,0.001,1.6205991255604415,2,4096,
41,4096,2.0,4331,56.329317300002,"[26, 25, 17, 11, 2, 4, 25, 18, 31, 27, 24, 16, 21, 3, 6, 8, 5, 20, 14, 10, 30, 1, 22, 29, 19, 13, 23, 28, 7, 12, 15, 9]",geometric,2,0.99,0.001,1.1354381631861301,2,4096,
42,0,29.0,0,0.031855900000664406,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,2,,0.001,1.9996814663686056,2,4096,0.005
43,1,29.0,2,0.4975795000027574,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,2,,0.001,1.9950303895040757,2,4096,0.005
44,2,31.0,4,0.9093285000017204,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,2,,0.001,1.99092735566425,2,4096,0.005
45,4,32.0,8,1.3663787000004959,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",exponential,2,,0.001,1.9863827816577373,2,4096,0.005
46,8,28.0,13,1.8153137000008428,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",exponential,2,,0.001,1.9819289984053339,2,4096,0.005
47,16,26.0,27,2.3232438000013644,"[6, 19, 28, 14, 10, 7, 11, 20, 26, 25, 18, 24, 10, 10, 2, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",exponential,2,,0.001,1.9769019775734986,2,4096,0.005
48,32,27.0,56,2.902043900001445,"[6, 9, 28, 14, 10, 7, 8, 13, 26, 3, 19, 7, 10, 31, 13, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",exponential,2,,0.001,1.9711890927948827,2,4096,0.005
49,64,27.0,111,3.64768980000008,"[0, 10, 28, 12, 9, 7, 16, 11, 30, 28, 19, 7, 19, 31, 13, 12, 3, 26, 11, 2, 8, 20, 30, 23, 26, 22, 19, 25, 31, 4, 20, 4]",exponential,2,,0.001,1.9638537299237915,2,4096,0.005
50,128,21.0,211,4.502788800000417,"[5, 28, 6, 23, 27, 7, 16, 11, 2, 28, 24, 28, 19, 20, 27, 2, 0, 26, 9, 24, 8, 2, 30, 23, 29, 22, 1, 0, 31, 29, 20, 17]",exponential,2,,0.001,1.9554752070502741,2,4096,0.005
51,256,15.0,399,5.870751100002963,"[8, 16, 23, 11, 22, 7, 12, 5, 2, 25, 27, 31, 3, 31, 27, 14, 0, 28, 9, 19, 16, 25, 25, 17, 31, 6, 10, 5, 26, 30, 20, 4]",exponential,2,,0.001,1.9421457626505818,2,4096,0.005
52,512,8.0,705,7.98582780000288,"[28, 11, 23, 11, 1, 28, 7, 1, 10, 2, 17, 31, 29, 3, 26, 29, 14, 30, 21, 25, 16, 1, 1, 22, 0, 6, 8, 5, 28, 24, 18, 20]",exponential,2,,0.001,1.9217150481300223,2,4096,0.005
53,1024,3.0,1242,12.268293500001164,"[26, 11, 19, 12, 15, 28, 7, 13, 10, 2, 17, 31, 16, 3, 26, 29, 14, 30, 21, 4, 16, 1, 27, 22, 0, 4, 8, 5, 9, 6, 18, 20]",exponential,2,,0.001,1.881004068120307,2,4096,0.005
54,2048,1.0,2287,24.069761700000527,"[7, 25, 19, 12, 15, 24, 3, 13, 10, 2, 28, 31, 16, 23, 26, 29, 14, 30, 21, 4, 11, 1, 27, 22, 0, 21, 8, 5, 9, 6, 18, 20]",exponential,2,,0.001,1.7732222505567403,2,4096,0.005
55,4096,1.0,4358,61.23574610000287,"[7, 25, 19, 12, 15, 24, 3, 13, 10, 4, 28, 1, 16, 23, 26, 31, 14, 30, 21, 6, 11, 29, 27, 22, 0, 17, 8, 5, 9, 29, 18, 20]",exponential,2,,0.001,1.47251003293697,2,4096,0.005
56,0,29.0,0,0.004745300000649877,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.9998569278355194,3,4096,
57,1,29.0,2,0.6832523000011861,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.979469824895675,3,4096,
58,2,31.0,4,1.4088807000007364,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.957820159561111,3,4096,
59,4,32.0,8,2.0170322000012675,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.939796724491422,3,4096,
60,8,29.0,14,2.6580737000003865,"[6, 19, 4, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.9209174299130076,3,4096,
61,16,26.0,27,3.3173850999992283,"[6, 19, 4, 14, 10, 7, 28, 20, 26, 25, 18, 24, 10, 10, 2, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.9016265360401383,3,4096,
62,32,27.0,55,4.071831900000689,"[6, 9, 4, 14, 10, 7, 28, 13, 26, 3, 19, 7, 10, 31, 13, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",geometric,3,0.99,0.001,2.8797083179639467,3,4096,
63,64,29.0,113,4.910999800002173,"[0, 10, 12, 12, 9, 7, 30, 22, 14, 28, 19, 7, 14, 31, 13, 12, 3, 26, 11, 29, 8, 20, 30, 23, 30, 23, 19, 11, 31, 24, 20, 0]",geometric,3,0.99,0.001,2.855523221531066,3,4096,
64,128,15.0,209,5.952430000001186,"[4, 28, 6, 3, 27, 12, 30, 22, 2, 28, 24, 24, 14, 31, 13, 18, 5, 26, 9, 11, 8, 20, 30, 23, 30, 15, 19, 0, 31, 10, 20, 7]",geometric,3,0.99,0.001,2.8257911204293373,3,4096,
65,256,8.0,374,7.375605600002018,"[22, 22, 11, 4, 2, 13, 3, 19, 2, 28, 21, 16, 28, 31, 1, 18, 5, 12, 17, 11, 22, 4, 29, 23, 30, 9, 19, 5, 8, 10, 20, 7]",geometric,3,0.99,0.001,2.7856604070409485,3,4096,
66,512,6.0,649,9.595379800000956,"[17, 22, 0, 4, 14, 25, 3, 19, 2, 11, 21, 16, 28, 31, 1, 18, 26, 30, 6, 11, 24, 4, 15, 23, 30, 9, 12, 5, 7, 10, 20, 27]",geometric,3,0.99,0.001,2.724201885160925,3,4096,
67,1024,2.0,1179,14.103134100001625,"[17, 22, 0, 4, 14, 25, 3, 19, 2, 11, 18, 16, 31, 8, 1, 29, 29, 23, 6, 3, 9, 21, 15, 30, 28, 24, 12, 5, 7, 10, 20, 27]",geometric,3,0.99,0.001,2.6035373884949067,3,4096,
68,2048,2.0,2223,26.17799390000073,"[4, 22, 17, 28, 14, 29, 3, 19, 0, 11, 18, 16, 13, 8, 1, 26, 0, 23, 6, 25, 2, 21, 15, 30, 9, 24, 12, 5, 7, 10, 20, 27]",geometric,3,0.99,0.001,2.306000544574239,3,4096,
69,4096,2.0,4314,61.94237129999965,"[17, 4, 11, 28, 25, 7, 3, 19, 6, 10, 18, 16, 27, 8, 1, 31, 29, 13, 22, 29, 2, 21, 15, 30, 0, 24, 12, 5, 7, 14, 20, 23]",geometric,3,0.99,0.001,1.6097367455415574,3,4096,
70,0,29.0,0,0.005166400002053706,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,3,,0.001,2.9999225050008986,3,4096,0.005
71,1,29.0,2,0.8361638999995193,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,3,,0.001,2.987483723876905,3,4096,0.005
72,2,31.0,4,1.675939799999469,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",exponential,3,,0.001,2.974965938439786,3,4096,0.005
73,4,32.0,8,2.4560842999999295,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",exponential,3,,0.001,2.963384025466748,3,4096,0.005
